subj,MW1_sham_B0,MW1_real_B0,MW1_sham_B1,MW1_real_B1,MW1_sham_B2,MW1_real_B2,MW1_sham_B3,MW1_real_B3,MW2_sham_B0,MW2_real_B0,MW2_sham_B1,MW2_real_B1,MW2_sham_B2,MW2_real_B2,MW2_sham_B3,MW2_real_B3,MW3_sham_B0,MW3_real_B0,MW3_sham_B1,MW3_real_B1,MW3_sham_B2,MW3_real_B2,MW3_sham_B3,MW3_real_B3,AE_sham_B0,AE_real_B0,AE_sham_B1,AE_real_B1,AE_sham_B2,AE_real_B2,AE_sham_B3,AE_real_B3,BV_sham_B0,BV_real_B0,BV_sham_B1,BV_real_B1,BV_sham_B2,BV_real_B2,BV_sham_B3,BV_real_B3
PFC011,1.3636363636363635,1.9090909090909092,1.2727272727272727,1.7272727272727273,1.9090909090909092,1.9090909090909092,1.8181818181818181,1.9090909090909092,3.4545454545454546,1.4545454545454546,3.5454545454545454,1.5454545454545454,2.8181818181818183,1.0909090909090908,2.8181818181818183,2,2.272727272727273,2.4545454545454546,1.7272727272727273,2.090909090909091,2.4545454545454546,1.9090909090909092,2.3636363636363638,2,2.0018889265214224,0.7552007716639267,0.5216106740738585,0.9482382747313188,0.36974637779994807,1.7245212096865565,0.7829674801947474,1.4964563746438622,-0.3222377351930695,-0.3541215791990251,-0.3184254900514077,-0.4296340379818665,0.1332406636345129,-0.3987057058558664,-0.4783796400914193,-0.5281439223786245
PFC012,1.3636363636363635,1.7272727272727273,1.0909090909090908,2.272727272727273,1,2.5454545454545454,1.1818181818181819,1.5454545454545454,3.6363636363636362,3.272727272727273,3.3636363636363638,3.3636363636363638,3.1818181818181817,2.5454545454545454,3,3.272727272727273,2.090909090909091,2.5454545454545454,1.0909090909090908,3.090909090909091,1.1818181818181819,2.6363636363636362,1.2727272727272727,2,0.3630875860309058,-0.15674552917484783,0.1320648751812842,0.08381262144891305,0.17567386146243158,-0.3600513576205797,0.667287474800448,0.3494056693124895,-0.29914140123332195,0.24269711634362748,-0.7126387391911594,-0.1280988061515024,-0.5713515078331672,-0.3683207785108634,-0.6171455170737108,-0.3025812831970051
PFC013,2.090909090909091,2.272727272727273,1.8181818181818181,2.5454545454545454,1.7272727272727273,2.6363636363636362,1.8181818181818181,2.4545454545454546,3.272727272727273,3.727272727272727,2.8181818181818183,3.727272727272727,2.909090909090909,3.272727272727273,3.1818181818181817,2.909090909090909,3.4545454545454546,3.8181818181818183,2.8181818181818183,3.727272727272727,3.1818181818181817,3.6363636363636362,2.5454545454545454,3.3636363636363638,0.8360055986986313,0.18675133924931367,0.13793779347988827,0.42084750327855625,0.7241813493300309,0.26408930663469704,0.6406553727660743,0.06569087950095458,0.3178896584487871,-0.006241642607189789,0.9874350736099163,0.17458307294122288,0.5177995455473626,0.46688361861610644,-0.15193055226121702,-0.2735003094562022
PFC014,2,1.8181818181818181,2.3636363636363638,2.8181818181818183,2.090909090909091,2.727272727272727,3.090909090909091,2.909090909090909,1.7272727272727273,3.5454545454545454,1.2727272727272727,2,1.7272727272727273,1.6363636363636365,1.6363636363636365,2.1818181818181817,1.9090909090909092,1.2727272727272727,2.3636363636363638,3.1818181818181817,2.6363636363636362,3.727272727272727,3.090909090909091,3.727272727272727,0.8893755669962544,0.3130302009528973,0.34009265214899226,1.1594001565991279,0.6759107648343895,0.43134693349787717,0.6451341571529715,0.2439345399935243,-0.26755852939790464,0.49231766430777413,-0.7461860269855449,0.19209044207803266,-0.1505090445571939,0.26319017468490447,-0.32856059220742967,0.42398922052243054
PFC015,1.9090909090909092,2.090909090909091,2.5454545454545454,2.8181818181818183,2.6363636363636362,2.727272727272727,2.272727272727273,2.3636363636363638,1.6363636363636365,1.5454545454545454,1.7272727272727273,1.9090909090909092,1.8181818181818181,1.9090909090909092,1.4545454545454546,1.5454545454545454,2.090909090909091,2.090909090909091,2.4545454545454546,2.090909090909091,2.3636363636363638,2.6363636363636362,1.9090909090909092,1.9090909090909092,0.22242282887724893,0.040591959484430916,0.06400152028432313,-0.2915993262075155,-0.25562056668073757,0.09372470647090175,-0.10423881662195024,0.32471660363842325,1.2986948323257346,1.189437402038757,2.3020575573014836,1.2444660430029693,1.4632539332573384,0.36138008206950756,0.2678484301130749,1.1564140965285878
PFC016,1.7272727272727273,1.8181818181818181,1.8181818181818181,2.1818181818181817,1.5454545454545454,1.4545454545454546,1.5454545454545454,1.9090909090909092,3.272727272727273,3.272727272727273,3.1818181818181817,2.909090909090909,3.4545454545454546,3.5454545454545454,3.5454545454545454,3.3636363636363638,1.9090909090909092,2.272727272727273,2.3636363636363638,2.090909090909091,2,1.8181818181818181,2,2.1818181818181817,0.26908196660447425,-0.2301180721524172,0.09585692387378901,-0.09743449649592711,-0.038923356551407697,0.17483918045366195,0.4103409504164247,-0.4167202100904397,0.0934451011770187,0.7083939087896781,-0.04164125899612774,0.6165727839186778,-0.08233345005638693,0.411852219134273,0.06571039829002191,0.08130535029403198
PFC017,2.272727272727273,2.5454545454545454,2.3636363636363638,2.8181818181818183,1.8181818181818181,2.1818181818181817,2.090909090909091,1.9090909090909092,2.4545454545454546,1.9090909090909092,1.9090909090909092,2,2.4545454545454546,2.1818181818181817,2.4545454545454546,1.8181818181818181,3.3636363636363638,2.909090909090909,3.1818181818181817,2.272727272727273,2.6363636363636362,3.1818181818181817,2.6363636363636362,2.1818181818181817,-0.17637027896940663,0.11253754629119349,-0.23823871609172234,-0.7152215335529949,0.28756414748377357,0.06470121508597301,-0.5943889031202432,-0.5096943654871722,-0.43375994432523884,-0.29501468359203653,-0.32946072132478127,-0.028336687254320207,-0.7333543742019435,0.43124747954722903,-0.670242458781143,0.13253766728196434
PFC018,1.5454545454545454,1.3636363636363635,1.4545454545454546,1.2727272727272727,1.1818181818181819,1.4545454545454546,1.1818181818181819,1.5454545454545454,2.8181818181818183,3.4545454545454546,2.5454545454545454,3.090909090909091,2.3636363636363638,2.5454545454545454,2.4545454545454546,2.8181818181818183,1.0909090909090908,1.1818181818181819,1.1818181818181819,1.2727272727272727,1.2727272727272727,1.1818181818181819,1.1818181818181819,1.4545454545454546,-0.6632190467659895,-0.25893661144307245,-0.5030858844046618,-0.13180921245993354,-0.6279948803061556,-0.3157381900756538,-0.504896613679553,-0.12801304459029647,-0.440369595916999,-0.23360396088312815,-0.5398026899022582,-0.13665521563533087,0.032036854463772475,-0.3360588447409672,-0.301816723158593,-0.45855655711254134
PFC019,1.9090909090909092,1.6363636363636365,1.7272727272727273,1.9090909090909092,2.090909090909091,2.1818181818181817,1.8181818181818181,1.8181818181818181,1.9090909090909092,1.3636363636363635,1.6363636363636365,2.272727272727273,2,2.4545454545454546,1.5454545454545454,2,1.7272727272727273,1.6363636363636365,1.7272727272727273,2.1818181818181817,1.9090909090909092,2.6363636363636362,1.4545454545454546,2.3636363636363638,-0.5269663886998761,-0.5277259328052926,-0.4152967095473732,-0.905664932583021,-0.4595118493576652,-0.6148215160623863,-0.49388808406857326,-0.0749594710624859,1.4150024028641732,1.9573542827551305,2.027408354401164,0.9690478251431245,2.2066187300210083,2.1816572538502634,1.268555295690531,1.8182957916200462
PFC020,1.4545454545454546,1.4545454545454546,1.0909090909090908,2.272727272727273,1.0909090909090908,1.8181818181818181,1.2727272727272727,1.1818181818181819,3.090909090909091,3.272727272727273,3.8181818181818183,3,3.727272727272727,3.090909090909091,3.8181818181818183,3.909090909090909,3.272727272727273,3.909090909090909,4,3.727272727272727,3.909090909090909,3.909090909090909,4,3.909090909090909,-0.8408951628720043,-0.5458872936438696,-0.6929219079015484,-0.6075074972501386,-0.7101022462547689,-0.7605642284937608,-0.9993484723181046,-0.657513301107346,0.05791277347495333,0.3863375062846296,0.847773541658015,3.0086711000381086,0.510399753412693,1.3299590554979241,0.2484798137377303,-0.11738536772305863
